Position,CUSIP,ISIN,SEDOL,Ticker Symbol,Asset Type,Asset Class,Sub-Asset Class,Currency,Domicile,Exchange,Industry,S&P Bond Type,S&P Bond Sub-Type,S&P Issuer State,ICE Debt Type,Frequency,Callable,Coupon Rate,Dated Date,Maturity Date,Principal Factor
Mastercard Inc Class                  A,57636Q104,US57636Q1040,B121557,MA,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc",Banks & other credit institutions,-,-,-,-,,-,,,,-
Mckesson Corp Exchange Offer,58155Q103,US58155Q1031,2378534,MCK,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc",Pharmaceuticals cosmetics & med. products,-,-,-,-,,-,,,,-
Merck & Co. Inc.,58933Y105,US58933Y1055,2778844,MRK,Common Stock,Equity,-,USD,United States,"New York Stock Exchange, Inc",Pharmaceuticals cosmetics & med. products,-,-,-,-,,-,,,,-
Microsoft Corp,594918104,US5949181045,2588173,MSFT,Common Stock,Equity,US Equities,USD,United States,NASDAQ OMX,"Internet, software & IT services",-,-,-,-,,-,,,,-
Nike Inc Class                  B,654106103,US6541061031,2640147,NKE,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc","Textiles, garments & leather goods",-,-,-,-,,-,,,,-
Norfolk Southern Co,655844108,US6558441084,2641894,NSC,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc",Traffic & Transportation,-,-,-,-,,-,,,,-
Procter & Gamble,742718109,US7427181091,2704407,PG,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc",Miscellaneous consumer goods,-,-,-,-,,-,,,,-
Prudential Finl,744320102,US7443201022,2819118,PRU,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc",Insurance companies,-,-,-,-,,-,,,,-
Schwab Value Advantage Money Fund,808515605,-,-,SWVXX,Money Market,Cash,Cash Equivalents,USD,United States,Nasdaq OMX Mutual Fund Dissemination Service,Investment trusts/funds & provisioning inst. ,-,-,-,-,,-,,,,-
SPDR S&P 600 Small Cap Value ETF,78464A300,US78464A3005,2792071,SLYV,Exchange Traded Fund,Equity,US Equities,USD,United States,NYSE Arca,Investment trusts/funds & provisioning inst.,-,-,-,-,,-,,,,-
Starbucks Corp,855244109,US8552441094,2842255,SBUX,Common Stock,Equity,US Equities,USD,United States,NASDAQ OMX,"Lodging & catering ind., leisure facilities",-,-,-,-,,-,,,,-
United Parcel SRVC Class                  B,911312106,US9113121068,2517382,UPS,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc",Traffic & Transportation,-,-,-,-,,-,,,,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,927790DL6,-,-,-,Municipal Bond,Fixed Income,US Municipals/Tax Exempt,USD,-,-,-,MUNI,LOC,VA,BOND,Semi-annually,Callable,0.04,2012-03-01,2026-03-15,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,92778REE3,-,-,-,Municipal Bond,Fixed Income,-,USD,-,-,-,MUNI,LOC,VA,BOND,Semi-annually,Callable,0.05,2018-11-01,2020-11-01,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,928172D93,-,-,-,Municipal Bond,Fixed Income,US Municipals/Tax Exempt,USD,-,-,-,MUNI,LOC,VA,BOND,Semi-annually,-,0.05,2014-09-17,2021-08-01,1
Vanguard FTSE Developed Markets ETF,921943858,US9219438580,B23MX41,VEA,Exchange Traded Fund,Equity,Global Equities,USD,United States,NYSE Arca,Investment trusts/funds & provisioning inst.,-,-,-,-,,-,,,,-
Verizon Communicatn,92343V104,US92343V1044,2090571,VZ,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc",Telecommunication,-,-,-,-,,-,,,,-
Virginia State Res  5%22 **Partial**,92818MY61,-,-,-,Municipal Bond,Fixed Income,-,USD,-,-,-,MUNI,LOC,VA,BOND,Semi-annually,-,0.05,2015-11-18,2022-11-01,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,92818MW97,-,-,-,Municipal Bond,Fixed Income,-,USD,-,-,-,MUNI,LOC,VA,BOND,Semi-annually,-,0.05,2015-11-18,2022-11-01,1
VMware Inc Class A,928563402,US9285634021,B23SN61,VMW,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc","Internet, software & IT services",-,-,-,-,,-,,,,-
WalMart Inc,931142103,US9311421039,2936921,WMT,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc",Retail trade & department stores,-,-,-,-,,-,,,,-
Walt Disney Co,254687106,US2546871060,2270726,DIS,Common Stock,Equity,US Equities,USD,United States,"New York Stock Exchange, Inc","Graphics, publishing & printing media",-,-,-,-,,-,,,,-
