Owned_Name,Owned_Type,Type,Date,Units,Amount,Currency
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,Interest Income,2020-10-01,0.0,2500.0,USD
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,Interest Income,2020-11-01,0.0,125.0,USD
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,Interest Income,2020-11-01,0.0,2500.0,USD
Virginia State Res  5%22 **Partial**,Bond,Interest Income,2020-11-01,0.0,1125.0,USD
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,Interest Income,2021-02-01,0.0,3750.0,USD
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,Interest Income,2021-02-01,0.0,2000.0,USD
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,Interest Income,2021-03-01,0.0,2500.0,USD
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,Interest Income,2021-03-15,0.0,3000.0,USD
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,Interest Income,2021-04-01,0.0,2500.0,USD
Virginia State Res  5%22 **Partial**,Bond,Interest Income,2021-05-01,0.0,1125.0,USD
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,Interest Income,2021-05-01,0.0,125.0,USD
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,Redemption,2020-11-01,-100.0,100000.0,USD
Apple Inc,Stock,Split,2020-08-31,570.0,0.0,USD
