Owned_Name,Owned_Type,Date,Price,Currency,Principal_Factor
Emerson Electric Co,Stock,7/27/2020,63.41,USD,-
Exxon Mobil Corp,Stock,7/27/2020,44.07,USD,-
Facebook Inc Class                  A,Stock,7/27/2020,233.5,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,7/27/2020,1169.3011,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,7/27/2020,1168.9678,USD,1
Home Depot Inc,Stock,7/27/2020,267.42,USD,-
Intel Corp,Stock,7/27/2020,49.57,USD,-
iShares Core S&P Mid Cap ETF,ETF,7/27/2020,186.36,USD,-
iShares MSCI EAFE Growth ETF,ETF,7/27/2020,88.37,USD,-
iShares MSCI Emerging Markets ETF,ETF,7/27/2020,43.81,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,7/27/2020,100.12,USD,-
J P Morgan Chase & Co,Stock,7/27/2020,98.44285714285714,USD,-
Jabil Circuit Inc,Stock,7/27/2020,0.0,USD,-
Johnson & Johnson,Stock,7/27/2020,147.18,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,7/27/2020,0.0,USD,-
Kroger Co,Stock,7/27/2020,34.76,USD,-
L3harris Technologies In,Stock,7/27/2020,167.55,USD,-
Marathon Pete Corp,Stock,7/27/2020,38.52,USD,-
Masco Corp,Stock,7/27/2020,56.025,USD,-
Mastercard Inc Class                  A,Stock,7/27/2020,309.26,USD,-
Mckesson Corp Exchange Offer,Stock,7/27/2020,157.15,USD,-
Merck & Co. Inc.,Stock,7/27/2020,78.93,USD,-
Microsoft Corp,Stock,7/27/2020,203.85,USD,-
Nike Inc Class                  B,Stock,7/27/2020,97.21,USD,-
Norfolk Southern Co,Stock,7/27/2020,189.93,USD,-
Procter & Gamble,Stock,7/27/2020,127.1107,USD,-
Prudential Finl,Stock,7/27/2020,64.22,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,7/27/2020,0.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,7/27/2020,50.56,USD,-
Starbucks Corp,Stock,7/27/2020,76.46,USD,-
United Parcel SRVC Class                  B,Stock,7/27/2020,121.01,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,7/27/2020,1077.2366666666667,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,7/27/2020,1024.1244,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,7/27/2020,1073.5744666666667,USD,1
Vanguard FTSE Developed Markets ETF,ETF,7/27/2020,40.91,USD,-
Verizon Communicatn,Stock,7/27/2020,57.485,USD,-
Virginia State Res  5%22 **Partial**,Bond,7/27/2020,1120.8644444444444,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,7/27/2020,1118.234,USD,1
VMware Inc Class A,Stock,7/27/2020,0.0,USD,-
WalMart Inc,Stock,7/27/2020,131.21,USD,-
Walt Disney Co,Stock,7/27/2020,116.31,USD,-
Abbvie Inc,Stock,7/28/2020,97.89,USD,-
Adobe Inc,Stock,7/28/2020,432.26,USD,-
Agilent Technologies,Stock,7/28/2020,0.0,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,7/28/2020,249.05,USD,-
Alphabet Inc. Class                  A,Stock,7/28/2020,1503.65,USD,-
Amgen Inc.,Stock,7/28/2020,255.27,USD,-
Apple Inc,Stock,7/28/2020,373.01,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,7/28/2020,1128.6167,USD,1
Bank Of America Corp,Stock,7/28/2020,24.36,USD,-
Becton Dickinson&co,Stock,7/28/2020,273.0,USD,-
BlackRock Inc,Stock,7/28/2020,570.7,USD,-
Borgwarner Inc Com,Stock,7/28/2020,0.0,USD,-
Boston Scientific Co,Stock,7/28/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,7/28/2020,0.0,USD,-
Broadcom Inc,Stock,7/28/2020,0.0,USD,-
Cash,Cash,7/28/2020,1.0,USD,-
Cerner Corp,Stock,7/28/2020,71.14,USD,-
Change Healthcare Inc,Stock,7/28/2020,0.0,USD,-
Charles Schwab Corp,Stock,7/28/2020,33.66,USD,-
Chevron Corp,Stock,7/28/2020,89.11,USD,-
CIGNA Corp,Stock,7/28/2020,175.75,USD,-
Cisco Systems Inc,Stock,7/28/2020,46.28,USD,-
Comcast Corp Class                  A,Stock,7/28/2020,43.21,USD,-
Cummins Inc,Stock,7/28/2020,195.02,USD,-
Discover Finl S,Stock,7/28/2020,50.11000000000001,USD,-
Eastman Chemical Co,Stock,7/28/2020,76.36,USD,-
Emerson Electric Co,Stock,7/28/2020,62.27,USD,-
Exxon Mobil Corp,Stock,7/28/2020,43.55,USD,-
Facebook Inc Class                  A,Stock,7/28/2020,230.12,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,7/28/2020,1169.36,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,7/28/2020,1169.0067,USD,1
Home Depot Inc,Stock,7/28/2020,265.28,USD,-
Intel Corp,Stock,7/28/2020,49.24,USD,-
iShares Core S&P Mid Cap ETF,ETF,7/28/2020,184.45,USD,-
iShares MSCI EAFE Growth ETF,ETF,7/28/2020,88.06,USD,-
iShares MSCI Emerging Markets ETF,ETF,7/28/2020,43.45,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,7/28/2020,99.36,USD,-
J P Morgan Chase & Co,Stock,7/28/2020,98.86285714285714,USD,-
Jabil Circuit Inc,Stock,7/28/2020,0.0,USD,-
Johnson & Johnson,Stock,7/28/2020,146.83,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,7/28/2020,0.0,USD,-
Kroger Co,Stock,7/28/2020,35.23,USD,-
L3harris Technologies In,Stock,7/28/2020,171.4,USD,-
Marathon Pete Corp,Stock,7/28/2020,38.12,USD,-
Masco Corp,Stock,7/28/2020,54.615,USD,-
Mastercard Inc Class                  A,Stock,7/28/2020,306.73,USD,-
Mckesson Corp Exchange Offer,Stock,7/28/2020,153.89,USD,-
Merck & Co. Inc.,Stock,7/28/2020,79.69,USD,-
Microsoft Corp,Stock,7/28/2020,202.02,USD,-
Nike Inc Class                  B,Stock,7/28/2020,96.27,USD,-
Norfolk Southern Co,Stock,7/28/2020,185.1,USD,-
Procter & Gamble,Stock,7/28/2020,128.6707,USD,-
Prudential Finl,Stock,7/28/2020,64.08,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,7/28/2020,0.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,7/28/2020,50.29,USD,-
Starbucks Corp,Stock,7/28/2020,74.64,USD,-
United Parcel SRVC Class                  B,Stock,7/28/2020,119.62,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,7/28/2020,1077.2378,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,7/28/2020,1024.1233,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,7/28/2020,1073.5833333333333,USD,1
Vanguard FTSE Developed Markets ETF,ETF,7/28/2020,40.72,USD,-
Verizon Communicatn,Stock,7/28/2020,58.095,USD,-
Virginia State Res  5%22 **Partial**,Bond,7/28/2020,1120.8133333333333,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,7/28/2020,1118.244,USD,1
VMware Inc Class A,Stock,7/28/2020,0.0,USD,-
WalMart Inc,Stock,7/28/2020,131.76,USD,-
Walt Disney Co,Stock,7/28/2020,116.18,USD,-
Abbvie Inc,Stock,7/29/2020,98.19,USD,-
Adobe Inc,Stock,7/29/2020,436.3,USD,-
Agilent Technologies,Stock,7/29/2020,0.0,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,7/29/2020,252.45,USD,-
Alphabet Inc. Class                  A,Stock,7/29/2020,1523.51,USD,-
Amgen Inc.,Stock,7/29/2020,248.85,USD,-
Apple Inc,Stock,7/29/2020,380.16,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,7/29/2020,1128.8578,USD,1
Bank Of America Corp,Stock,7/29/2020,25.27,USD,-
Becton Dickinson&co,Stock,7/29/2020,276.4,USD,-
BlackRock Inc,Stock,7/29/2020,577.6,USD,-
Borgwarner Inc Com,Stock,7/29/2020,0.0,USD,-
Boston Scientific Co,Stock,7/29/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,7/29/2020,0.0,USD,-
Broadcom Inc,Stock,7/29/2020,0.0,USD,-
Cash,Cash,7/29/2020,1.0,USD,-
Cerner Corp,Stock,7/29/2020,73.41,USD,-
Change Healthcare Inc,Stock,7/29/2020,0.0,USD,-
Charles Schwab Corp,Stock,7/29/2020,34.08,USD,-
Chevron Corp,Stock,7/29/2020,90.07,USD,-
CIGNA Corp,Stock,7/29/2020,181.8,USD,-
Cisco Systems Inc,Stock,7/29/2020,46.71,USD,-
Comcast Corp Class                  A,Stock,7/29/2020,43.9,USD,-
Cummins Inc,Stock,7/29/2020,198.88,USD,-
Discover Finl S,Stock,7/29/2020,51.83,USD,-
Eastman Chemical Co,Stock,7/29/2020,77.43,USD,-
Emerson Electric Co,Stock,7/29/2020,63.74,USD,-
Exxon Mobil Corp,Stock,7/29/2020,44.03,USD,-
Facebook Inc Class                  A,Stock,7/29/2020,233.29,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,7/29/2020,1169.5389,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,7/29/2020,1169.1756,USD,1
Home Depot Inc,Stock,7/29/2020,264.66,USD,-
Intel Corp,Stock,7/29/2020,48.07,USD,-
iShares Core S&P Mid Cap ETF,ETF,7/29/2020,188.54,USD,-
iShares MSCI EAFE Growth ETF,ETF,7/29/2020,88.96,USD,-
iShares MSCI Emerging Markets ETF,ETF,7/29/2020,44.15,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,7/29/2020,100.41,USD,-
J P Morgan Chase & Co,Stock,7/29/2020,101.22285714285714,USD,-
Jabil Circuit Inc,Stock,7/29/2020,0.0,USD,-
Johnson & Johnson,Stock,7/29/2020,146.54,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,7/29/2020,0.0,USD,-
Kroger Co,Stock,7/29/2020,35.11,USD,-
L3harris Technologies In,Stock,7/29/2020,173.0,USD,-
Marathon Pete Corp,Stock,7/29/2020,39.91,USD,-
Masco Corp,Stock,7/29/2020,56.475,USD,-
Mastercard Inc Class                  A,Stock,7/29/2020,309.7,USD,-
Mckesson Corp Exchange Offer,Stock,7/29/2020,155.7,USD,-
Merck & Co. Inc.,Stock,7/29/2020,79.35,USD,-
Microsoft Corp,Stock,7/29/2020,204.06,USD,-
Nike Inc Class                  B,Stock,7/29/2020,96.97,USD,-
Norfolk Southern Co,Stock,7/29/2020,192.82,USD,-
Procter & Gamble,Stock,7/29/2020,129.1007,USD,-
Prudential Finl,Stock,7/29/2020,65.48,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,7/29/2020,0.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,7/29/2020,51.49,USD,-
Starbucks Corp,Stock,7/29/2020,77.42,USD,-
United Parcel SRVC Class                  B,Stock,7/29/2020,123.68,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,7/29/2020,1077.0088666666666,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,7/29/2020,1024.2622,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,7/29/2020,1073.7222,USD,1
Vanguard FTSE Developed Markets ETF,ETF,7/29/2020,41.15,USD,-
Verizon Communicatn,Stock,7/29/2020,58.065,USD,-
Virginia State Res  5%22 **Partial**,Bond,7/29/2020,1120.9022222222222,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,7/29/2020,1118.142,USD,1
VMware Inc Class A,Stock,7/29/2020,0.0,USD,-
WalMart Inc,Stock,7/29/2020,130.69,USD,-
Walt Disney Co,Stock,7/29/2020,115.61,USD,-
Abbvie Inc,Stock,7/30/2020,97.22,USD,-
Adobe Inc,Stock,7/30/2020,438.88,USD,-
Agilent Technologies,Stock,7/30/2020,0.0,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,7/30/2020,252.74,USD,-
Alphabet Inc. Class                  A,Stock,7/30/2020,1538.37,USD,-
Amgen Inc.,Stock,7/30/2020,246.14,USD,-
Apple Inc,Stock,7/30/2020,384.76,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,7/30/2020,1129.2789,USD,1
Bank Of America Corp,Stock,7/30/2020,24.84,USD,-
Becton Dickinson&co,Stock,7/30/2020,273.84,USD,-
BlackRock Inc,Stock,7/30/2020,573.09,USD,-
Borgwarner Inc Com,Stock,7/30/2020,0.0,USD,-
Boston Scientific Co,Stock,7/30/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,7/30/2020,0.0,USD,-
Broadcom Inc,Stock,7/30/2020,0.0,USD,-
Cash,Cash,7/30/2020,1.0,USD,-
Cerner Corp,Stock,7/30/2020,71.26,USD,-
Change Healthcare Inc,Stock,7/30/2020,0.0,USD,-
Charles Schwab Corp,Stock,7/30/2020,33.58,USD,-
Chevron Corp,Stock,7/30/2020,86.27,USD,-
CIGNA Corp,Stock,7/30/2020,178.47,USD,-
Cisco Systems Inc,Stock,7/30/2020,46.44,USD,-
Comcast Corp Class                  A,Stock,7/30/2020,43.67,USD,-
Cummins Inc,Stock,7/30/2020,194.48,USD,-
Discover Finl S,Stock,7/30/2020,50.41,USD,-
Eastman Chemical Co,Stock,7/30/2020,74.94,USD,-
Emerson Electric Co,Stock,7/30/2020,62.65,USD,-
Exxon Mobil Corp,Stock,7/30/2020,41.87,USD,-
Facebook Inc Class                  A,Stock,7/30/2020,234.5,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,7/30/2020,1169.6278,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,7/30/2020,1169.2344,USD,1
Home Depot Inc,Stock,7/30/2020,266.31,USD,-
Intel Corp,Stock,7/30/2020,47.99,USD,-
iShares Core S&P Mid Cap ETF,ETF,7/30/2020,187.3,USD,-
iShares MSCI EAFE Growth ETF,ETF,7/30/2020,88.19,USD,-
iShares MSCI Emerging Markets ETF,ETF,7/30/2020,43.59,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,7/30/2020,99.95,USD,-
J P Morgan Chase & Co,Stock,7/30/2020,98.56285714285713,USD,-
Jabil Circuit Inc,Stock,7/30/2020,0.0,USD,-
Johnson & Johnson,Stock,7/30/2020,146.84,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,7/30/2020,0.0,USD,-
Kroger Co,Stock,7/30/2020,34.41,USD,-
L3harris Technologies In,Stock,7/30/2020,173.23,USD,-
Marathon Pete Corp,Stock,7/30/2020,38.08,USD,-
Masco Corp,Stock,7/30/2020,57.165,USD,-
Mastercard Inc Class                  A,Stock,7/30/2020,309.4,USD,-
Mckesson Corp Exchange Offer,Stock,7/30/2020,153.61,USD,-
Merck & Co. Inc.,Stock,7/30/2020,78.99,USD,-
Microsoft Corp,Stock,7/30/2020,203.9,USD,-
Nike Inc Class                  B,Stock,7/30/2020,96.82,USD,-
Norfolk Southern Co,Stock,7/30/2020,188.87,USD,-
Procter & Gamble,Stock,7/30/2020,132.2107,USD,-
Prudential Finl,Stock,7/30/2020,63.66,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,7/30/2020,0.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,7/30/2020,50.9,USD,-
Starbucks Corp,Stock,7/30/2020,76.64,USD,-
United Parcel SRVC Class                  B,Stock,7/30/2020,141.46,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,7/30/2020,1077.14,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,7/30/2020,1024.0111,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,7/30/2020,1073.5511333333334,USD,1
Vanguard FTSE Developed Markets ETF,ETF,7/30/2020,40.6,USD,-
Verizon Communicatn,Stock,7/30/2020,57.915,USD,-
Virginia State Res  5%22 **Partial**,Bond,7/30/2020,1120.851111111111,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,7/30/2020,1118.132,USD,1
VMware Inc Class A,Stock,7/30/2020,0.0,USD,-
WalMart Inc,Stock,7/30/2020,130.12,USD,-
Walt Disney Co,Stock,7/30/2020,115.66,USD,-
Abbvie Inc,Stock,7/31/2020,96.09,USD,-
Adobe Inc,Stock,7/31/2020,444.32,USD,-
Agilent Technologies,Stock,7/31/2020,0.0,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,7/31/2020,251.02,USD,-
Alphabet Inc. Class                  A,Stock,7/31/2020,1487.95,USD,-
Amgen Inc.,Stock,7/31/2020,244.67,USD,-
Apple Inc,Stock,7/31/2020,425.04,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,7/31/2020,1129.81,USD,1
Bank Of America Corp,Stock,7/31/2020,24.88,USD,-
Becton Dickinson&co,Stock,7/31/2020,281.34,USD,-
BlackRock Inc,Stock,7/31/2020,575.01,USD,-
Borgwarner Inc Com,Stock,7/31/2020,0.0,USD,-
Boston Scientific Co,Stock,7/31/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,7/31/2020,0.0,USD,-
Broadcom Inc,Stock,7/31/2020,0.0,USD,-
Cash,Cash,7/31/2020,1.0,USD,-
Cerner Corp,Stock,7/31/2020,69.45,USD,-
Change Healthcare Inc,Stock,7/31/2020,0.0,USD,-
Charles Schwab Corp,Stock,7/31/2020,33.15,USD,-
Chevron Corp,Stock,7/31/2020,83.94,USD,-
CIGNA Corp,Stock,7/31/2020,172.69,USD,-
Cisco Systems Inc,Stock,7/31/2020,47.1,USD,-
Comcast Corp Class                  A,Stock,7/31/2020,42.8,USD,-
Cummins Inc,Stock,7/31/2020,193.26,USD,-
Discover Finl S,Stock,7/31/2020,49.43,USD,-
Eastman Chemical Co,Stock,7/31/2020,74.63,USD,-
Emerson Electric Co,Stock,7/31/2020,62.01,USD,-
Exxon Mobil Corp,Stock,7/31/2020,42.08,USD,-
Facebook Inc Class                  A,Stock,7/31/2020,253.67,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,7/31/2020,1170.0767,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,7/31/2020,1169.6633,USD,1
Home Depot Inc,Stock,7/31/2020,265.49,USD,-
Intel Corp,Stock,7/31/2020,47.73,USD,-
iShares Core S&P Mid Cap ETF,ETF,7/31/2020,185.93,USD,-
iShares MSCI EAFE Growth ETF,ETF,7/31/2020,86.42,USD,-
iShares MSCI Emerging Markets ETF,ETF,7/31/2020,43.29,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,7/31/2020,100.67,USD,-
J P Morgan Chase & Co,Stock,7/31/2020,96.64,USD,-
Jabil Circuit Inc,Stock,7/31/2020,0.0,USD,-
Johnson & Johnson,Stock,7/31/2020,145.76,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,7/31/2020,0.0,USD,-
Kroger Co,Stock,7/31/2020,34.79,USD,-
L3harris Technologies In,Stock,7/31/2020,168.32999999999996,USD,-
Marathon Pete Corp,Stock,7/31/2020,38.2,USD,-
Masco Corp,Stock,7/31/2020,57.295,USD,-
Mastercard Inc Class                  A,Stock,7/31/2020,308.93,USD,-
Mckesson Corp Exchange Offer,Stock,7/31/2020,150.16,USD,-
Merck & Co. Inc.,Stock,7/31/2020,80.24,USD,-
Microsoft Corp,Stock,7/31/2020,205.01,USD,-
Nike Inc Class                  B,Stock,7/31/2020,97.61,USD,-
Norfolk Southern Co,Stock,7/31/2020,192.21,USD,-
Procter & Gamble,Stock,7/31/2020,131.9107,USD,-
Prudential Finl,Stock,7/31/2020,63.37,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,7/31/2020,0.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,7/31/2020,50.42,USD,-
Starbucks Corp,Stock,7/31/2020,76.53,USD,-
United Parcel SRVC Class                  B,Stock,7/31/2020,142.76,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,7/31/2020,1077.1511333333335,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,7/31/2020,1024.04,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,7/31/2020,1073.66,USD,1
Vanguard FTSE Developed Markets ETF,ETF,7/31/2020,39.81,USD,-
Verizon Communicatn,Stock,7/31/2020,58.095,USD,-
Virginia State Res  5%22 **Partial**,Bond,7/31/2020,1121.1,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,7/31/2020,1118.14,USD,1
VMware Inc Class A,Stock,7/31/2020,0.0,USD,-
WalMart Inc,Stock,7/31/2020,129.4,USD,-
Walt Disney Co,Stock,7/31/2020,116.94,USD,-
Abbvie Inc,Stock,8/1/2020,96.09,USD,-
Adobe Inc,Stock,8/1/2020,444.32,USD,-
Agilent Technologies,Stock,8/1/2020,0.0,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,8/1/2020,251.02,USD,-
Alphabet Inc. Class                  A,Stock,8/1/2020,1487.95,USD,-
Amgen Inc.,Stock,8/1/2020,244.67,USD,-
Apple Inc,Stock,8/1/2020,425.04,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,8/1/2020,1109.81,USD,1
Bank Of America Corp,Stock,8/1/2020,24.88,USD,-
Becton Dickinson&co,Stock,8/1/2020,281.34,USD,-
BlackRock Inc,Stock,8/1/2020,575.01,USD,-
Borgwarner Inc Com,Stock,8/1/2020,0.0,USD,-
Boston Scientific Co,Stock,8/1/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,8/1/2020,0.0,USD,-
Broadcom Inc,Stock,8/1/2020,0.0,USD,-
Cash,Cash,8/1/2020,1.0,USD,-
Cerner Corp,Stock,8/1/2020,69.45,USD,-
Change Healthcare Inc,Stock,8/1/2020,0.0,USD,-
Charles Schwab Corp,Stock,8/1/2020,33.15,USD,-
Chevron Corp,Stock,8/1/2020,83.94,USD,-
CIGNA Corp,Stock,8/1/2020,172.69,USD,-
Cisco Systems Inc,Stock,8/1/2020,47.1,USD,-
Comcast Corp Class                  A,Stock,8/1/2020,42.8,USD,-
Cummins Inc,Stock,8/1/2020,193.26,USD,-
Discover Finl S,Stock,8/1/2020,49.43,USD,-
Eastman Chemical Co,Stock,8/1/2020,74.63,USD,-
Emerson Electric Co,Stock,8/1/2020,62.01,USD,-
Exxon Mobil Corp,Stock,8/1/2020,42.08,USD,-
Facebook Inc Class                  A,Stock,8/1/2020,253.67,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,8/1/2020,1170.0767,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,8/1/2020,1169.6633,USD,1
Home Depot Inc,Stock,8/1/2020,265.49,USD,-
Intel Corp,Stock,8/1/2020,47.73,USD,-
iShares Core S&P Mid Cap ETF,ETF,8/1/2020,185.93,USD,-
iShares MSCI EAFE Growth ETF,ETF,8/1/2020,86.42,USD,-
iShares MSCI Emerging Markets ETF,ETF,8/1/2020,43.29,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,8/1/2020,100.67,USD,-
J P Morgan Chase & Co,Stock,8/1/2020,96.64,USD,-
Jabil Circuit Inc,Stock,8/1/2020,0.0,USD,-
Johnson & Johnson,Stock,8/1/2020,145.76,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,8/1/2020,0.0,USD,-
Kroger Co,Stock,8/1/2020,34.79,USD,-
L3harris Technologies In,Stock,8/1/2020,168.32999999999996,USD,-
Marathon Pete Corp,Stock,8/1/2020,38.2,USD,-
Masco Corp,Stock,8/1/2020,57.295,USD,-
Mastercard Inc Class                  A,Stock,8/1/2020,308.93,USD,-
Mckesson Corp Exchange Offer,Stock,8/1/2020,150.16,USD,-
Merck & Co. Inc.,Stock,8/1/2020,80.24,USD,-
Microsoft Corp,Stock,8/1/2020,205.01,USD,-
Nike Inc Class                  B,Stock,8/1/2020,97.61,USD,-
Norfolk Southern Co,Stock,8/1/2020,192.21,USD,-
Procter & Gamble,Stock,8/1/2020,131.9107,USD,-
Prudential Finl,Stock,8/1/2020,63.37,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,8/1/2020,0.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,8/1/2020,50.42,USD,-
Starbucks Corp,Stock,8/1/2020,76.53,USD,-
United Parcel SRVC Class                  B,Stock,8/1/2020,142.76,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,8/1/2020,1077.1511333333335,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,8/1/2020,1024.04,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,8/1/2020,1048.66,USD,1
Vanguard FTSE Developed Markets ETF,ETF,8/1/2020,39.81,USD,-
Verizon Communicatn,Stock,8/1/2020,58.095,USD,-
Virginia State Res  5%22 **Partial**,Bond,8/1/2020,1121.1,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,8/1/2020,1118.14,USD,1
VMware Inc Class A,Stock,8/1/2020,0.0,USD,-
WalMart Inc,Stock,8/1/2020,129.4,USD,-
Walt Disney Co,Stock,8/1/2020,116.94,USD,-
Abbvie Inc,Stock,8/2/2020,96.09,USD,-
Adobe Inc,Stock,8/2/2020,444.32,USD,-
Agilent Technologies,Stock,8/2/2020,0.0,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,8/2/2020,251.02,USD,-
Alphabet Inc. Class                  A,Stock,8/2/2020,1487.95,USD,-
Amgen Inc.,Stock,8/2/2020,244.67,USD,-
Apple Inc,Stock,8/2/2020,425.04,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,8/2/2020,1109.9211,USD,1
Bank Of America Corp,Stock,8/2/2020,24.88,USD,-
Becton Dickinson&co,Stock,8/2/2020,281.34,USD,-
BlackRock Inc,Stock,8/2/2020,575.01,USD,-
Borgwarner Inc Com,Stock,8/2/2020,0.0,USD,-
Boston Scientific Co,Stock,8/2/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,8/2/2020,0.0,USD,-
Broadcom Inc,Stock,8/2/2020,0.0,USD,-
Cash,Cash,8/2/2020,1.0,USD,-
Cerner Corp,Stock,8/2/2020,69.45,USD,-
Change Healthcare Inc,Stock,8/2/2020,0.0,USD,-
Charles Schwab Corp,Stock,8/2/2020,33.15,USD,-
Chevron Corp,Stock,8/2/2020,83.94,USD,-
CIGNA Corp,Stock,8/2/2020,172.69,USD,-
Cisco Systems Inc,Stock,8/2/2020,47.1,USD,-
Comcast Corp Class                  A,Stock,8/2/2020,42.8,USD,-
Cummins Inc,Stock,8/2/2020,193.26,USD,-
Discover Finl S,Stock,8/2/2020,49.43,USD,-
Eastman Chemical Co,Stock,8/2/2020,74.63,USD,-
Emerson Electric Co,Stock,8/2/2020,62.01,USD,-
Exxon Mobil Corp,Stock,8/2/2020,42.08,USD,-
Facebook Inc Class                  A,Stock,8/2/2020,253.67,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,8/2/2020,1170.2156,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,8/2/2020,1169.8022,USD,1
