Owned_Name,Owned_Type,Date,Price,Currency,Principal_Factor
Broadcom Inc,Stock,7/1/2020,0.0,USD,-
Cash,Cash,7/1/2020,1.0,USD,-
Cerner Corp,Stock,7/1/2020,69.67,USD,-
Change Healthcare Inc,Stock,7/1/2020,10.89,USD,-
Charles Schwab Corp,Stock,7/1/2020,33.02,USD,-
Chevron Corp,Stock,7/1/2020,87.62,USD,-
CIGNA Corp,Stock,7/1/2020,190.5,USD,-
Cisco Systems Inc,Stock,7/1/2020,46.06,USD,-
Comcast Corp Class                  A,Stock,7/1/2020,39.93,USD,-
Cummins Inc,Stock,7/1/2020,170.95,USD,-
Discover Finl S,Stock,7/1/2020,48.22,USD,-
Eastman Chemical Co,Stock,7/1/2020,69.36,USD,-
Emerson Electric Co,Stock,7/1/2020,61.21,USD,-
Exxon Mobil Corp,Stock,7/1/2020,43.71,USD,-
Facebook Inc Class                  A,Stock,7/1/2020,237.55,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,7/1/2020,1163.62,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,7/1/2020,1163.8167,USD,1
Home Depot Inc,Stock,7/1/2020,248.15,USD,-
Intel Corp,Stock,7/1/2020,58.81,USD,-
iShares Core S&P Mid Cap ETF,ETF,7/1/2020,176.49,USD,-
iShares MSCI EAFE Growth ETF,ETF,7/1/2020,83.58,USD,-
iShares MSCI Emerging Markets ETF,ETF,7/1/2020,40.44,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,7/1/2020,96.43,USD,-
J P Morgan Chase & Co,Stock,7/1/2020,93.26,USD,-
Jabil Circuit Inc,Stock,7/1/2020,0.0,USD,-
Johnson & Johnson,Stock,7/1/2020,140.38,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,7/1/2020,0.0,USD,-
Kroger Co,Stock,7/1/2020,33.57,USD,-
L3harris Technologies In,Stock,7/1/2020,170.49,USD,-
Marathon Pete Corp,Stock,7/1/2020,35.68,USD,-
Masco Corp,Stock,7/1/2020,49.65,USD,-
Mastercard Inc Class                  A,Stock,7/1/2020,301.17,USD,-
Mckesson Corp Exchange Offer,Stock,7/1/2020,150.91,USD,-
Merck & Co. Inc.,Stock,7/1/2020,78.73,USD,-
Microsoft Corp,Stock,7/1/2020,204.7,USD,-
Nike Inc Class                  B,Stock,7/1/2020,97.4,USD,-
Norfolk Southern Co,Stock,7/1/2020,171.52,USD,-
Procter & Gamble,Stock,7/1/2020,119.98,USD,-
Prudential Finl,Stock,7/1/2020,58.93,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,7/1/2020,1.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,7/1/2020,48.17,USD,-
Starbucks Corp,Stock,7/1/2020,74.03,USD,-
United Parcel SRVC Class                  B,Stock,7/1/2020,114.42,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,7/1/2020,1074.8678,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,7/1/2020,1023.2233,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,7/1/2020,1071.8633333333332,USD,1
Vanguard FTSE Developed Markets ETF,ETF,7/1/2020,38.92,USD,-
Verizon Communicatn,Stock,7/1/2020,54.67,USD,-
Virginia State Res  5%22 **Partial**,Bond,7/1/2020,1117.0033333333333,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,7/1/2020,1114.424,USD,1
VMware Inc Class A,Stock,7/1/2020,0.0,USD,-
WalMart Inc,Stock,7/1/2020,119.69,USD,-
Walt Disney Co,Stock,7/1/2020,113.01,USD,-
Abbvie Inc,Stock,7/2/2020,98.88,USD,-
Adobe Inc,Stock,7/2/2020,442.95,USD,-
Agilent Technologies,Stock,7/2/2020,0.0,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,7/2/2020,223.6,USD,-
Alphabet Inc. Class                  A,Stock,7/2/2020,1469.93,USD,-
Amgen Inc.,Stock,7/2/2020,258.24,USD,-
Apple Inc,Stock,7/2/2020,364.11,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,7/2/2020,1122.4878,USD,1
Bank Of America Corp,Stock,7/2/2020,23.29,USD,-
Becton Dickinson&co,Stock,7/2/2020,245.03,USD,-
BlackRock Inc,Stock,7/2/2020,551.77,USD,-
Borgwarner Inc Com,Stock,7/2/2020,0.0,USD,-
Boston Scientific Co,Stock,7/2/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,7/2/2020,0.0,USD,-
Broadcom Inc,Stock,7/2/2020,0.0,USD,-
Cash,Cash,7/2/2020,1.0,USD,-
Cerner Corp,Stock,7/2/2020,70.09,USD,-
Change Healthcare Inc,Stock,7/2/2020,10.85,USD,-
Charles Schwab Corp,Stock,7/2/2020,33.39,USD,-
Chevron Corp,Stock,7/2/2020,88.31,USD,-
CIGNA Corp,Stock,7/2/2020,190.49,USD,-
Cisco Systems Inc,Stock,7/2/2020,45.99,USD,-
Comcast Corp Class                  A,Stock,7/2/2020,39.48,USD,-
Cummins Inc,Stock,7/2/2020,173.45,USD,-
Discover Finl S,Stock,7/2/2020,48.85,USD,-
Eastman Chemical Co,Stock,7/2/2020,70.64,USD,-
Emerson Electric Co,Stock,7/2/2020,61.65,USD,-
Exxon Mobil Corp,Stock,7/2/2020,44.08,USD,-
Facebook Inc Class                  A,Stock,7/2/2020,233.42,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,7/2/2020,1163.7489,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,7/2/2020,1163.9456,USD,1
Home Depot Inc,Stock,7/2/2020,248.5,USD,-
Intel Corp,Stock,7/2/2020,59.13,USD,-
